epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.30401,2.35481,3.27107,2.01224,0.00332,0.01515,0.00113,0.00033,3.18357,5.64629,2.98006,0.0874,0.0014,0.0014
2,13.1262,1.76074,2.28247,1.60944,0.53764,0.12121,0.13114,0.06841,2.41798,3.33309,2.0398,0.0738641,0.00286411,0.00286411
3,18.3235,1.41179,1.69393,1.36158,0.84244,0.56061,0.71086,0.42169,1.56731,2.12067,1.40716,0.0602911,0.0042911,0.0042911
4,25.5064,1.18452,1.39242,1.23465,0.91777,0.84561,0.92505,0.63673,0.96,0.8793,0.9754,0.046681,0.00568096,0.00568096
5,31.2829,1.09151,1.16601,1.13883,0.91835,0.89394,0.92644,0.63271,0.85534,0.8305,0.94056,0.0330337,0.0070337,0.0070337
6,37.9094,1.11726,1.15379,1.14543,0.9838,0.92011,0.93739,0.64677,0.84886,0.81044,0.95143,0.0193493,0.00834931,0.00834931
7,43.1517,1.02587,1.04393,1.10125,0.98291,0.95455,0.9799,0.6312,0.80571,0.70076,0.91326,0.0092575,0.0092575,0.0092575
8,48.8363,0.99989,1.09203,1.08412,0.92483,0.93217,0.94421,0.63006,0.85026,0.83253,0.95324,0.00913375,0.00913375,0.00913375
9,55.0945,1.04863,1.10272,1.11751,0.95038,0.92424,0.95497,0.61861,0.85736,0.78163,0.95462,0.00901,0.00901,0.00901
10,60.0525,1.05375,1.0021,1.0955,0.9644,0.93939,0.96446,0.6247,0.83177,0.7165,0.94211,0.00888625,0.00888625,0.00888625
11,66.4639,1.02156,0.98044,1.09152,0.95258,0.91307,0.95206,0.6253,0.86747,0.68163,0.92225,0.0087625,0.0087625,0.0087625
12,71.5504,0.99835,0.93232,1.07645,0.99736,0.95455,0.98252,0.69089,0.7933,0.67656,0.91043,0.00863875,0.00863875,0.00863875
13,76.4686,1.032,0.93047,1.10704,0.9951,0.95455,0.9786,0.68908,0.78614,0.68652,0.9295,0.008515,0.008515,0.008515
14,82.6043,0.93794,0.93793,1.06297,0.99686,0.93939,0.9787,0.6967,0.84657,0.69429,0.94499,0.00839125,0.00839125,0.00839125
15,87.8537,0.94969,0.82047,1.06284,0.96713,0.93939,0.97813,0.67569,0.81845,0.67731,0.93605,0.0082675,0.0082675,0.0082675
16,93.8845,0.98047,0.88053,1.08673,0.95469,0.9697,0.97693,0.69694,0.7572,0.63389,0.92202,0.00814375,0.00814375,0.00814375
17,99.7388,0.95476,0.84755,1.06949,0.99757,0.95455,0.98257,0.70128,0.75977,0.71273,0.91396,0.00802,0.00802,0.00802
18,105.178,0.9486,0.86051,1.06117,0.98102,0.9697,0.98258,0.70629,0.74283,0.61532,0.88747,0.00789625,0.00789625,0.00789625
19,112.537,0.89851,0.79243,1.05483,0.98308,0.98485,0.97893,0.65208,0.77691,0.71861,0.9175,0.0077725,0.0077725,0.0077725
20,117.954,0.91209,0.77529,1.03442,0.96811,0.95455,0.96194,0.6782,0.75237,0.60113,0.91224,0.00764875,0.00764875,0.00764875
21,124.292,0.93391,0.77586,1.05512,0.98461,0.96954,0.98281,0.67254,0.78983,0.57715,0.91318,0.007525,0.007525,0.007525
22,129.52,0.8668,0.79359,1.01552,0.9846,0.96868,0.9848,0.69449,0.78488,0.57495,0.90319,0.00740125,0.00740125,0.00740125
23,135.01,0.90918,0.75857,1.04843,0.97455,0.9697,0.98379,0.70309,0.77306,0.57132,0.9191,0.0072775,0.0072775,0.0072775
24,141.655,0.86383,0.74931,1.01849,0.98483,0.98368,0.98307,0.69701,0.77991,0.58844,0.91338,0.00715375,0.00715375,0.00715375
25,146.601,0.86151,0.72333,1.01942,0.98483,0.98346,0.98456,0.69809,0.72121,0.53194,0.90628,0.00703,0.00703,0.00703
26,153.586,0.8438,0.73529,1.00992,0.9911,0.98485,0.98538,0.72948,0.70673,0.52358,0.87544,0.00690625,0.00690625,0.00690625
27,158.628,0.85697,0.69817,1.01876,0.99826,0.98485,0.98531,0.74159,0.68743,0.50041,0.9012,0.0067825,0.0067825,0.0067825
28,163.628,0.81028,0.6887,1.00449,0.99745,0.98485,0.98532,0.69849,0.77101,0.5249,0.93503,0.00665875,0.00665875,0.00665875
29,169.699,0.84624,0.70635,0.99968,0.9989,0.98485,0.98532,0.7213,0.74648,0.5153,0.908,0.006535,0.006535,0.006535
30,175.187,0.85567,0.69046,1.00037,0.98014,0.9697,0.98047,0.70195,0.76562,0.52517,0.90594,0.00641125,0.00641125,0.00641125
31,181.797,0.82078,0.68572,0.99666,0.98159,0.9697,0.97152,0.70364,0.73444,0.54027,0.92638,0.0062875,0.0062875,0.0062875
32,187.443,0.85356,0.68862,1.01698,0.99692,0.9697,0.98502,0.72243,0.76144,0.59587,0.9219,0.00616375,0.00616375,0.00616375
33,192.528,0.90044,0.71735,1.03389,0.99391,0.9697,0.98365,0.7124,0.75399,0.54024,0.92246,0.00604,0.00604,0.00604
34,198.639,0.81335,0.68593,0.98827,1,0.98117,0.98537,0.71669,0.73106,0.50921,0.90601,0.00591625,0.00591625,0.00591625
35,203.544,0.83823,0.69377,1.02163,1,0.96569,0.98479,0.71396,0.74837,0.49392,0.92186,0.0057925,0.0057925,0.0057925
36,209.92,0.80552,0.65934,0.99231,0.97727,0.9697,0.96873,0.72528,0.7015,0.47555,0.91384,0.00566875,0.00566875,0.00566875
37,215.18,0.80326,0.68233,0.99425,0.96376,0.95455,0.95916,0.71349,0.72433,0.53401,0.91858,0.005545,0.005545,0.005545
38,220.592,0.78577,0.63103,0.98056,0.99896,0.98485,0.98541,0.71719,0.70599,0.47546,0.8973,0.00542125,0.00542125,0.00542125
39,226.687,0.8702,0.64609,1.02789,0.99902,0.98485,0.9854,0.71221,0.72802,0.50562,0.89998,0.0052975,0.0052975,0.0052975
40,232.272,0.75545,0.62132,0.9595,0.98342,0.9697,0.96093,0.7135,0.7518,0.51154,0.92414,0.00517375,0.00517375,0.00517375
41,238.677,0.80512,0.62795,0.99714,1,0.98348,0.98544,0.72756,0.76944,0.494,0.91738,0.00505,0.00505,0.00505
42,244.369,0.72041,0.59671,0.96047,0.99854,0.98485,0.98547,0.72782,0.74248,0.49316,0.91579,0.00492625,0.00492625,0.00492625
43,248.999,0.76507,0.62749,0.97438,1,0.9682,0.98522,0.72983,0.70343,0.46352,0.90243,0.0048025,0.0048025,0.0048025
44,255.792,0.74729,0.6253,0.97697,0.98218,0.9697,0.98453,0.72828,0.66542,0.48006,0.88535,0.00467875,0.00467875,0.00467875
45,260.603,0.81457,0.61421,0.99894,0.99852,0.9697,0.98526,0.74015,0.68105,0.47586,0.88663,0.004555,0.004555,0.004555
46,267.048,0.78934,0.59527,0.98491,0.98166,0.9697,0.98477,0.74158,0.66144,0.47576,0.88239,0.00443125,0.00443125,0.00443125
47,272.438,0.80844,0.63734,1.00724,0.96609,0.95455,0.96468,0.73228,0.69691,0.51341,0.89844,0.0043075,0.0043075,0.0043075
